# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 49K of event 'cycles:u'
# Event count (approx.): 494731310553
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .....................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    17.19%  main     main                   [.] model::FindPT
    10.23%  main     main                   [.] std::vector<segment, std::allocator<segment> >::size
     5.26%  main     main                   [.] MD5Hash_SIMD_Batch
     4.10%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_copy_data
     3.69%  main     main                   [.] MD5Hash
     2.69%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::_Vector_impl_data::_M_copy_data
     2.62%  main     main                   [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node
     2.06%  main     main                   [.] std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node
     1.68%  main     main                   [.] PT::operator=
     1.63%  main     main                   [.] std::vector<PT, std::allocator<PT> >::operator[]
     1.55%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data
     1.43%  main     main                   [.] std::__detail::_Hashtable_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, false, true> >::_Equal_hash_code<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true> >::_S_equals
     1.01%  main     main                   [.] std::vector<PT, std::allocator<PT> >::size
     0.91%  main     main                   [.] std::vector<int, std::allocator<int> >::_M_move_assign
     0.89%  main     main                   [.] std::allocator<int>::allocator
     0.88%  main     main                   [.] std::vector<int, std::allocator<int> >::~vector
     0.80%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::~_Vector_base
     0.74%  main     main                   [.] std::vector<int, std::allocator<int> >::operator=
     0.73%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::_Vector_impl_data::_Vector_impl_data
     0.71%  main     main                   [.] std::__detail::_Hash_code_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::__detail::_Select1st, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index
     0.69%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::get_allocator
     0.65%  main     main                   [.] std::allocator<int>::~allocator
     0.63%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl
     0.61%  main     main                   [.] std::vector<segment, std::allocator<segment> >::operator[]
     0.57%  main     main                   [.] std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[]
     0.55%  main     main                   [.] __gnu_cxx::new_allocator<int>::~new_allocator
     0.54%  main     main                   [.] std::__do_alloc_on_move<std::allocator<int> >
     0.54%  main     main                   [.] std::_Destroy<int*>
     0.50%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_M_deallocate
     0.50%  main     main                   [.] std::vector<segment, std::allocator<segment> >::_M_move_assign
     0.50%  main     main                   [.] std::_Destroy_aux<false>::__destroy<segment*>
     0.50%  main     main                   [.] std::__alloc_on_move<std::allocator<int> >
     0.49%  main     main                   [.] std::operator==<char>
     0.46%  main     main                   [.] std::vector<int, std::allocator<int> >::vector
     0.45%  main     main                   [.] std::allocator<segment>::allocator
     0.44%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_swap_data
     0.44%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::~_Vector_base
     0.42%  main     main                   [.] std::vector<segment, std::allocator<segment> >::operator=
     0.41%  main     main                   [.] std::vector<segment, std::allocator<segment> >::~vector
     0.39%  main     main                   [.] std::move<std::allocator<int>&>
     0.36%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.36%  main     main                   [.] StringProcess_Parallel
     0.35%  main     main                   [.] std::allocator<segment>::~allocator
     0.35%  main     main                   [.] std::__do_alloc_on_move<std::allocator<segment> >
     0.32%  main     main                   [.] std::_Destroy<segment*>
     0.29%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::_Vector_base
     0.29%  main     main                   [.] std::__detail::_Map_base<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::at
     0.28%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::get_allocator
     0.28%  main     main                   [.] __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_ptr
     0.28%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_Vector_base
     0.27%  main     main                   [.] std::_Destroy<int*, int>
     0.26%  main     main                   [.] model::parse
     0.26%  main     main                   [.] std::__detail::_Hashtable_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, false, true> >::_M_equals
     0.25%  main     main                   [.] std::equal_to<int>::operator()
     0.24%  main     main                   [.] segment::segment
     0.23%  main     main                   [.] std::vector<int, std::allocator<int> >::vector
     0.23%  main     main                   [.] std::__detail::_Hash_node_base::_Hash_node_base
     0.23%  main     main                   [.] std::__copy_move_backward<true, false, std::random_access_iterator_tag>::__copy_move_b<PT*, PT*>
     0.23%  main     main                   [.] std::__alloc_on_move<std::allocator<segment> >
     0.22%  main     libstdc++.so.6.0.28    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string
     0.22%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::_Vector_impl_data::_M_swap_data
     0.22%  main     main                   [.] __gnu_cxx::new_allocator<segment>::~new_allocator
     0.22%  main     main                   [.] StringProcess
     0.21%  main     main                   [.] __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_ptr
     0.21%  main     main                   [.] std::move<std::allocator<segment>&>
     0.21%  main     main                   [.] std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector
     0.20%  main     libc.so.6              [.] cfree
     0.20%  main     main                   [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_node
     0.20%  main     main                   [.] std::move<std::vector<int, std::allocator<int> >&>
     0.20%  main     main                   [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_allocate_buckets
     0.20%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator
     0.20%  main     libstdc++.so.6.0.28    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string
     0.20%  main     main                   [.] std::vector<int, std::allocator<int> >::begin
     0.20%  main     main                   [.] std::vector<segment, std::allocator<segment> >::vector
     0.20%  main     main                   [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_rehash_aux
     0.19%  main     main                   [.] std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl
     0.19%  main     main                   [.] std::_Destroy_aux<true>::__destroy<int*>
     0.19%  main     main                   [.] std::__copy_move<true, false, std::random_access_iterator_tag>::__copy_m<PT*, PT*>
     0.19%  main     main                   [.] __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator
     0.19%  main     main                   [.] std::_Vector_base<segment, std::allocator<segment> >::_M_deallocate
     0.19%  main     main                   [.] std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator()
